ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777843141.065,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,33.4,2233.4,98.5,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843142.554,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,130.82,2330.82,94.39,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843144.172,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,11.05,2211.05,99.5,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843145.664,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,1100.71,3300.71,66.65,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843147.256,adaptive,det,iphone,"Person left, 4.6 meters.",4,info,1953.42,4153.42,52.97,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892125.45,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,26.38,2226.38,98.82,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892135.622,adaptive,det,iphone,"Obstacle on your left, move right.",6,directional,29.06,2229.06,98.7,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892137.475,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,34.39,2234.39,98.46,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892139.755,adaptive,guide,iphone,"Obstacle on your left, move right.",6,directional,15.18,2215.18,99.31,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892144.557,adaptive,guide,iphone,"Obstacle on your left, move right.",6,directional,25.2,2225.2,98.87,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
